filename,start_time,end_time,confidence,scientific_name,primary_label
H19_20230503_134500.ogg,33.0,36.0,0.9882720112800598,,
H19_20230503_134500.ogg,45.0,48.0,0.9891119599342346,,
H19_20230503_134500.ogg,54.0,57.0,0.9881733059883118,,
H19_20230427_115500.ogg,51.0,54.0,0.9520381689071656,,
H91_20230423_164000.ogg,0.0,3.0,0.9746779799461364,,
H8920_20230514_084500.ogg,9.0,12.0,0.9771778583526612,,
H8920_20230514_084500.ogg,30.0,33.0,0.9787740111351012,,
O203_20230504_072000.ogg,0.0,3.0,0.9753767848014832,,
H03_20230503_140000.ogg,3.0,6.0,0.9960517287254332,,
H29_20230429_104000.ogg,21.0,24.0,0.9768221974372864,,
H8920_20230508_013500.ogg,9.0,12.0,0.9794513583183287,,
H8920_20230508_013500.ogg,12.0,15.0,0.9791589975357056,,
H8920_20230509_105000.ogg,9.0,12.0,0.9578913450241088,,
H8920_20230509_105000.ogg,33.0,36.0,0.9757041931152344,,
H8920_20230509_105000.ogg,39.0,42.0,0.97492116689682,,
H19_20230430_105500.ogg,0.0,3.0,0.9955423474311828,,
H19_20230430_105500.ogg,21.0,24.0,0.9993221759796144,,
H19_20230430_105500.ogg,30.0,33.0,0.999957799911499,,
H19_20230430_105500.ogg,42.0,45.0,0.9832003116607666,,
H19_20230430_105500.ogg,51.0,54.0,0.9778169989585876,,
H02_20230518_084000.ogg,6.0,9.0,0.9564152359962464,,
H08_20230423_170000.ogg,54.0,57.0,0.9751058220863342,,
H94_20230519_123000.ogg,51.0,54.0,0.9626049399375916,,
H12_20230502_062000.ogg,33.0,36.0,0.9870281219482422,,
H12_20230502_062000.ogg,42.0,45.0,0.9832383394241332,,
H12_20230502_062000.ogg,51.0,54.0,0.9717714190483092,,
H22_20230507_104500.ogg,42.0,45.0,0.972272515296936,,
H93_20230519_124500.ogg,9.0,12.0,0.9675411581993104,,
H93_20230519_124500.ogg,12.0,15.0,0.987572431564331,,
H93_20230519_124500.ogg,15.0,18.0,0.9599742293357848,,
H30_20230520_055500.ogg,18.0,21.0,0.976164937019348,,
H18_20230423_223000.ogg,36.0,39.0,0.99030601978302,,
H31_20230421_235000.ogg,3.0,6.0,0.9919984936714172,,
H31_20230421_235000.ogg,18.0,21.0,0.9917427897453308,,
H31_20230421_235000.ogg,21.0,24.0,0.9818869829177856,,
H31_20230421_235000.ogg,24.0,27.0,0.99101722240448,,
H8749_20230504_111500.ogg,3.0,6.0,0.9771832227706908,,
H8749_20230504_111500.ogg,42.0,45.0,0.9753184914588928,,
H8749_20230504_111500.ogg,45.0,48.0,0.995790421962738,,
H8749_20230504_111500.ogg,54.0,57.0,0.9870632290840148,,
H8920_20230514_140000.ogg,33.0,36.0,0.9736288785934448,,
H8920_20230514_140000.ogg,45.0,48.0,0.9738522171974182,,
H8920_20230514_140000.ogg,51.0,54.0,0.988746464252472,,
H12_20230508_105500.ogg,15.0,18.0,0.9667233228683472,,
H09_20230508_094500.ogg,27.0,30.0,0.9865354895591736,,
H22_20230512_051500.ogg,48.0,51.0,0.9553961157798768,,
H04_20230504_120500.ogg,36.0,39.0,0.9966127276420592,,
H07_20230509_154500.ogg,21.0,24.0,0.9641629457473756,,
O201_20230526_012000.ogg,24.0,27.0,0.9575650691986084,,
H02_20230514_083500.ogg,30.0,33.0,0.9694799780845642,,
H31_20230422_004000.ogg,6.0,9.0,0.9772623777389526,,
H31_20230422_004000.ogg,15.0,18.0,0.9729511737823486,,
H31_20230422_004000.ogg,42.0,45.0,0.9693668484687804,,
H31_20230422_004000.ogg,45.0,48.0,0.9960619807243348,,
H31_20230422_004000.ogg,48.0,51.0,0.989074409008026,,
H31_20230506_195000.ogg,3.0,6.0,0.9948232173919678,,
H31_20230506_195000.ogg,6.0,9.0,0.9511361718177797,,
H31_20230506_195000.ogg,18.0,21.0,0.9954302310943604,,
H31_20230506_195000.ogg,21.0,24.0,0.9962416887283324,,
H31_20230506_195000.ogg,24.0,27.0,0.9655125737190248,,
H31_20230506_195000.ogg,27.0,30.0,0.9879831075668336,,
H31_20230506_195000.ogg,33.0,36.0,0.9910001158714294,,
H31_20230506_195000.ogg,39.0,42.0,0.9964777827262878,,
H31_20230506_195000.ogg,48.0,51.0,0.9718705415725708,,
H31_20230506_195000.ogg,51.0,54.0,0.995383322238922,,
H31_20230506_195000.ogg,54.0,57.0,0.9930532574653624,,
H24_20230501_122000.ogg,27.0,30.0,0.9926538467407228,,
H8920_20230514_095000.ogg,21.0,24.0,0.9580855369567872,,
H31_20230426_215000.ogg,12.0,15.0,0.9900528788566588,,
H31_20230426_215000.ogg,18.0,21.0,0.9913697242736816,,
H31_20230426_215000.ogg,21.0,24.0,0.9708667397499084,,
H31_20230426_215000.ogg,24.0,27.0,0.9836283922195436,,
H31_20230426_215000.ogg,36.0,39.0,0.9757127165794371,,
H19_20230505_090500.ogg,0.0,3.0,0.99955016374588,,
H19_20230505_090500.ogg,12.0,15.0,0.9992936849594116,,
H19_20230505_090500.ogg,24.0,27.0,0.9997305274009703,,
H19_20230505_090500.ogg,36.0,39.0,0.9968878626823424,,
H19_20230505_090500.ogg,51.0,54.0,0.9991104006767272,,
H16_20230511_011500.ogg,27.0,30.0,0.9751689434051514,,
H16_20230511_011500.ogg,39.0,42.0,0.9623181223869324,,
H07_20230501_140000.ogg,48.0,51.0,0.9500636458396912,,
H98_20230508_140000.ogg,39.0,42.0,0.9899154901504515,,
H19_20230423_105000.ogg,18.0,21.0,0.961860418319702,,
H19_20230501_144000.ogg,3.0,6.0,0.991439700126648,,
H19_20230501_144000.ogg,48.0,51.0,0.9718413352966307,,
H19_20230510_135000.ogg,0.0,3.0,0.970431387424469,,
H02_20230511_082000.ogg,0.0,3.0,0.965635061264038,,
H19_20230507_060500.ogg,27.0,30.0,0.9660143852233888,,
H19_20230507_060500.ogg,33.0,36.0,0.9621264338493348,,
H29_20230428_082000.ogg,30.0,33.0,0.9758009910583496,,
H8920_20230505_115000.ogg,12.0,15.0,0.9784075617790222,,
H8920_20230505_115000.ogg,18.0,21.0,0.9546220898628236,,
H19_20230502_092000.ogg,3.0,6.0,0.9701085090637208,,
H29_20230513_180000.ogg,3.0,6.0,0.9518159627914428,,
H29_20230513_180000.ogg,9.0,12.0,0.9719974398612976,,
H29_20230513_180000.ogg,15.0,18.0,0.9629217982292176,,
H29_20230513_180000.ogg,18.0,21.0,0.9556103944778442,,
H29_20230513_180000.ogg,27.0,30.0,0.9579103589057922,,
H29_20230513_180000.ogg,30.0,33.0,0.9643027186393738,,
H29_20230513_180000.ogg,33.0,36.0,0.965444266796112,,
H29_20230513_180000.ogg,45.0,48.0,0.9988250136375428,,
H29_20230513_180000.ogg,48.0,51.0,0.996473491191864,,
H29_20230513_180000.ogg,51.0,54.0,0.9754984974861144,,
H32_20230427_135500.ogg,30.0,33.0,0.9765173196792604,,
H8920_20230427_112500.ogg,12.0,15.0,0.9627938270568848,,
H8920_20230427_112500.ogg,39.0,42.0,0.9596523642539978,,
H17_20230506_224500.ogg,6.0,9.0,0.9602031111717224,,
H21_20230505_055000.ogg,39.0,42.0,0.968435287475586,,
H21_20230505_055000.ogg,48.0,51.0,0.9600657224655152,,
H88_20230429_090000.ogg,51.0,54.0,0.9517025351524352,,
H21_20230506_060000.ogg,18.0,21.0,0.9501801133155824,,
H19_20230505_073000.ogg,24.0,27.0,0.9726033806800842,,
H69_20230422_050500.ogg,21.0,24.0,0.976984977722168,,
H06_20230508_120000.ogg,6.0,9.0,0.9714274406433104,,
H31_20230430_222000.ogg,21.0,24.0,0.9689583778381348,,
H31_20230430_222000.ogg,39.0,42.0,0.955312192440033,,
H31_20230430_222000.ogg,45.0,48.0,0.9796960353851318,,
H31_20230430_222000.ogg,48.0,51.0,0.9767648577690125,,
H8920_20230508_131000.ogg,15.0,18.0,0.9889434576034546,,
H8920_20230508_131000.ogg,42.0,45.0,0.9584481120109558,,
H8920_20230521_145000.ogg,18.0,21.0,0.9805485010147096,,
H18_20230513_073000.ogg,54.0,57.0,0.953661322593689,,
H69_20230429_000500.ogg,48.0,51.0,0.9662715196609496,,
H69_20230429_000500.ogg,54.0,57.0,0.9562769532203674,,
H94_20230501_230500.ogg,54.0,57.0,0.9903736114501952,,
H04_20230512_120500.ogg,0.0,3.0,0.9864566326141356,,
H04_20230512_120500.ogg,42.0,45.0,0.9830108880996704,,
H04_20230512_120500.ogg,48.0,51.0,0.956091284751892,,
H04_20230512_120500.ogg,54.0,57.0,0.9892268180847168,,
H73_20230502_143500.ogg,9.0,12.0,0.9816668033599854,,
H73_20230502_143500.ogg,18.0,21.0,0.9804232120513916,,
H73_20230502_143500.ogg,39.0,42.0,0.9889339804649352,,
H84_20230428_110500.ogg,51.0,54.0,0.9727425575256348,,
H77_20230515_175500.ogg,12.0,15.0,0.9639909863471984,,
H83_20230512_164000.ogg,24.0,27.0,0.9648079872131348,,
H19_20230503_135500.ogg,9.0,12.0,0.9961485862731934,,
H19_20230503_135500.ogg,30.0,33.0,0.980284571647644,,
H88_20230513_034000.ogg,0.0,3.0,0.9949982166290284,,
H88_20230513_034000.ogg,3.0,6.0,0.9848687648773192,,
H02_20230516_092000.ogg,42.0,45.0,0.9735575318336488,,
H19_20230504_093500.ogg,21.0,24.0,0.971137523651123,,
H8920_20230505_093500.ogg,3.0,6.0,0.9884549379348756,,
H03_20230424_055000.ogg,18.0,21.0,0.9527158737182616,,
O203_20230518_130500.ogg,45.0,48.0,0.9987289309501648,,
H07_20230502_115000.ogg,45.0,48.0,0.9869536757469176,,
H10_20230522_070500.ogg,39.0,42.0,0.9760696291923524,,
H10_20230522_070500.ogg,51.0,54.0,0.9671197533607484,,
H21_20230513_090500.ogg,39.0,42.0,0.9731874465942384,,
H69_20230515_042500.ogg,33.0,36.0,0.9732388854026794,,
H22_20230519_044500.ogg,0.0,3.0,0.9565473198890686,,
H19_20230503_121500.ogg,3.0,6.0,0.954165518283844,,
H19_20230503_121500.ogg,27.0,30.0,0.9983173608779908,,
H24_20230425_082000.ogg,9.0,12.0,0.9900587201118468,,
O203_20230428_121000.ogg,39.0,42.0,0.9676713943481444,,
H8920_20230511_081000.ogg,9.0,12.0,0.9560848474502563,,
H88_20230425_193000.ogg,9.0,12.0,0.9549920558929444,,
O202_20230501_075000.ogg,45.0,48.0,0.9763769507408142,,
O202_20230501_075000.ogg,54.0,57.0,0.9824318289756776,,
H19_20230507_094000.ogg,9.0,12.0,0.9715179800987244,,
H19_20230507_094000.ogg,24.0,27.0,0.9943566918373108,,
H19_20230507_094000.ogg,48.0,51.0,0.9987744688987732,,
H19_20230429_102000.ogg,12.0,15.0,0.9921016097068788,,
H63_20230509_133500.ogg,33.0,36.0,0.9547207355499268,,
H8749_20230510_011000.ogg,33.0,36.0,0.9887661337852478,,
H8920_20230428_113000.ogg,24.0,27.0,0.9591503143310548,,
H92_20230503_071500.ogg,0.0,3.0,0.9625234007835388,,
O203_20230521_122000.ogg,21.0,24.0,0.991033136844635,,
H04_20230520_063000.ogg,9.0,12.0,0.9514577388763428,,
H8749_20230430_183500.ogg,9.0,12.0,0.9841929078102112,,
H8749_20230430_183500.ogg,24.0,27.0,0.977741539478302,,
H8749_20230430_183500.ogg,30.0,33.0,0.964513897895813,,
H8749_20230430_183500.ogg,42.0,45.0,0.9696249961853028,,
H8749_20230430_183500.ogg,45.0,48.0,0.9712225198745728,,
H8749_20230430_184500.ogg,15.0,18.0,0.9555547833442688,,
H8920_20230519_133500.ogg,30.0,33.0,0.9906895160675048,,
