file,start_time,end_time,confidence,scientific_name,primary_label
H98_20230430_114000.ogg,21.0,24.0,0.4761297404766083,Pheugopedius fasciatoventris,blbwre1
H98_20230430_114000.ogg,27.0,30.0,0.17186382412910461,Pheugopedius fasciatoventris,blbwre1
H98_20230430_114000.ogg,48.0,51.0,0.33045196533203125,Pheugopedius fasciatoventris,blbwre1
H16_20230503_085500.ogg,6.0,9.0,0.9865478873252869,Tapera naevia,strcuc1
H16_20230503_085500.ogg,9.0,12.0,0.9963098168373108,Tapera naevia,strcuc1
H16_20230503_085500.ogg,12.0,15.0,0.9539468288421631,Tapera naevia,strcuc1
H16_20230503_085500.ogg,15.0,18.0,0.9481655955314636,Tapera naevia,strcuc1
H16_20230503_085500.ogg,18.0,21.0,0.9824334383010864,Tapera naevia,strcuc1
H16_20230503_085500.ogg,21.0,24.0,0.9662646055221558,Tapera naevia,strcuc1
H16_20230503_085500.ogg,24.0,27.0,0.9974109530448914,Tapera naevia,strcuc1
H16_20230503_085500.ogg,27.0,30.0,0.9702239632606506,Tapera naevia,strcuc1
H16_20230503_085500.ogg,30.0,33.0,0.9956979751586914,Tapera naevia,strcuc1
H16_20230503_085500.ogg,33.0,36.0,0.9982290863990784,Tapera naevia,strcuc1
H16_20230503_085500.ogg,36.0,39.0,0.9447081685066223,Tapera naevia,strcuc1
H16_20230503_085500.ogg,39.0,42.0,0.9537325501441956,Tapera naevia,strcuc1
H16_20230503_085500.ogg,42.0,45.0,0.9976133108139038,Tapera naevia,strcuc1
H16_20230503_085500.ogg,45.0,48.0,0.965116560459137,Tapera naevia,strcuc1
H16_20230503_085500.ogg,51.0,54.0,0.9982902407646179,Tapera naevia,strcuc1
H16_20230503_085500.ogg,54.0,57.0,0.8787000179290771,Tapera naevia,strcuc1
H28_20230503_001000.ogg,12.0,15.0,0.14550742506980896,Nyctibius griseus,compot1
H63_20230425_220500.ogg,33.0,36.0,0.11310846358537674,Pulsatrix perspicillata,speowl1
H12_20230504_124000.ogg,54.0,57.0,0.4880712330341339,Legatus leucophaius,pirfly1
H12_20230504_124000.ogg,57.0,60.0,0.6281870007514954,Legatus leucophaius,pirfly1
H32_20230424_071500.ogg,6.0,9.0,0.6265437006950378,Patagioenas cayennensis,pavpig2
H32_20230424_071500.ogg,9.0,12.0,0.24560806155204773,Patagioenas cayennensis,pavpig2
H32_20230424_071500.ogg,12.0,15.0,0.23141703009605408,Patagioenas cayennensis,pavpig2
H32_20230424_071500.ogg,24.0,27.0,0.5424095392227173,Patagioenas cayennensis,pavpig2
H32_20230424_071500.ogg,27.0,30.0,0.32856279611587524,Patagioenas cayennensis,pavpig2
H32_20230424_071500.ogg,33.0,36.0,0.7948726415634155,Ortalis columbiana,colcha1
H32_20230424_071500.ogg,39.0,42.0,0.4795047640800476,Patagioenas cayennensis,pavpig2
H32_20230424_071500.ogg,42.0,45.0,0.30238333344459534,Patagioenas cayennensis,pavpig2
H16_20230423_104500.ogg,0.0,3.0,0.1544283628463745,Sicalis flaveola,saffin
H16_20230423_104500.ogg,6.0,9.0,0.14330671727657318,Sicalis flaveola,saffin
H16_20230423_104500.ogg,9.0,12.0,0.9249619245529175,Sicalis flaveola,saffin
H16_20230423_104500.ogg,12.0,15.0,0.1942664533853531,Elaenia flavogaster,yebela1
H16_20230423_104500.ogg,12.0,15.0,0.13842999935150146,Sicalis flaveola,saffin
H16_20230423_104500.ogg,15.0,18.0,0.5843426585197449,Sicalis flaveola,saffin
H16_20230423_104500.ogg,15.0,18.0,0.1176484152674675,Tolmomyias sulphurescens,yeofly1
H16_20230423_104500.ogg,18.0,21.0,0.8247591257095337,Sicalis flaveola,saffin
H16_20230423_104500.ogg,24.0,27.0,0.1052771732211113,Sicalis flaveola,saffin
H16_20230423_104500.ogg,27.0,30.0,0.8206131458282471,Sicalis flaveola,saffin
H16_20230423_104500.ogg,33.0,36.0,0.650433361530304,Sicalis flaveola,saffin
H16_20230423_104500.ogg,36.0,39.0,0.9421727657318115,Sicalis flaveola,saffin
H16_20230423_104500.ogg,42.0,45.0,0.9886930584907532,Sicalis flaveola,saffin
H16_20230423_104500.ogg,45.0,48.0,0.990535318851471,Sicalis flaveola,saffin
H16_20230423_104500.ogg,51.0,54.0,0.1434982717037201,Sicalis flaveola,saffin
H16_20230423_104500.ogg,54.0,57.0,0.9337642192840576,Sicalis flaveola,saffin
H17_20230513_123000.ogg,9.0,12.0,0.3565775156021118,Poliocrania exsul,chbant1
H17_20230513_123000.ogg,33.0,36.0,0.5442086458206177,Poliocrania exsul,chbant1
H17_20230513_123000.ogg,54.0,57.0,0.15405471622943878,Poliocrania exsul,chbant1
H17_20230513_123000.ogg,57.0,60.0,0.16355210542678833,Tapera naevia,strcuc1
H90_20230515_183500.ogg,42.0,45.0,0.10225016623735428,Pulsatrix perspicillata,speowl1
H90_20230515_183500.ogg,45.0,48.0,0.10560458153486252,Pulsatrix perspicillata,speowl1
H32_20230428_175000.ogg,6.0,9.0,0.664863109588623,Ara severus,chfmac1
H32_20230428_175000.ogg,21.0,24.0,0.11400541663169861,Ara severus,chfmac1
H32_20230428_175000.ogg,24.0,27.0,0.11472686380147934,Ara severus,chfmac1
H32_20230428_175000.ogg,27.0,30.0,0.20469829440116882,Crotophaga ani,smbani
H32_20230428_175000.ogg,30.0,33.0,0.656611979007721,Amazona ochrocephala,ywcpar
H32_20230428_175000.ogg,33.0,36.0,0.15861661732196808,Amazona ochrocephala,ywcpar
H32_20230428_175000.ogg,42.0,45.0,0.15460175275802612,Ara severus,chfmac1
H32_20230428_175000.ogg,48.0,51.0,0.13817085325717926,Ara severus,chfmac1
H32_20230428_175000.ogg,51.0,54.0,0.12293273210525513,Ara severus,chfmac1
H04_20230501_103500.ogg,51.0,54.0,0.16237032413482666,Hypnelus ruficollis,rutpuf1
H09_20230429_180500.ogg,0.0,3.0,0.5182124972343445,Amazona ochrocephala,ywcpar
H09_20230429_180500.ogg,9.0,12.0,0.28345987200737,Amazona ochrocephala,ywcpar
H09_20230429_180500.ogg,12.0,15.0,0.13459759950637817,Amazona ochrocephala,ywcpar
H09_20230429_180500.ogg,18.0,21.0,0.26457661390304565,Amazona ochrocephala,ywcpar
H09_20230429_180500.ogg,30.0,33.0,0.8163774609565735,Amazona ochrocephala,ywcpar
H09_20230429_180500.ogg,33.0,36.0,0.6840944290161133,Amazona ochrocephala,ywcpar
H09_20230429_180500.ogg,36.0,39.0,0.7803417444229126,Amazona ochrocephala,ywcpar
H09_20230429_180500.ogg,39.0,42.0,0.13296552002429962,Amazona ochrocephala,ywcpar
H09_20230429_180500.ogg,54.0,57.0,0.2514946758747101,Amazona ochrocephala,ywcpar
H09_20230429_180500.ogg,57.0,60.0,0.24441581964492798,Amazona ochrocephala,ywcpar
H30_20230428_073500.ogg,3.0,6.0,0.10453186929225922,Tyrannulus elatus,yectyr1
H30_20230428_073500.ogg,24.0,27.0,0.14303912222385406,Patagioenas cayennensis,pavpig2
H30_20230428_073500.ogg,27.0,30.0,0.1306685209274292,Crypturellus soui,littin1
H30_20230428_073500.ogg,39.0,42.0,0.21615101397037506,Crypturellus soui,littin1
H30_20230428_073500.ogg,51.0,54.0,0.5845574736595154,Crypturellus soui,littin1
H16_20230507_165000.ogg,3.0,6.0,0.38132786750793457,Pitangus sulphuratus,grekis
H16_20230507_165000.ogg,15.0,18.0,0.21256951987743378,Tapera naevia,strcuc1
H16_20230507_165000.ogg,18.0,21.0,0.21297836303710938,Pitangus sulphuratus,grekis
H16_20230507_165000.ogg,21.0,24.0,0.2533242404460907,Pitangus sulphuratus,grekis
H16_20230507_165000.ogg,24.0,27.0,0.1579093337059021,Pitangus sulphuratus,grekis
H16_20230507_165000.ogg,27.0,30.0,0.46382617950439453,Pitangus sulphuratus,grekis
H16_20230507_165000.ogg,30.0,33.0,0.18771685659885406,Pitangus sulphuratus,grekis
H16_20230507_165000.ogg,33.0,36.0,0.10791204124689102,Pitangus sulphuratus,grekis
H16_20230507_165000.ogg,36.0,39.0,0.22702842950820923,Pitangus sulphuratus,grekis
H16_20230507_165000.ogg,45.0,48.0,0.12838084995746613,Pitangus sulphuratus,grekis
H16_20230507_165000.ogg,48.0,51.0,0.12315639853477478,Pitangus sulphuratus,grekis
H05_20230429_154000.ogg,12.0,15.0,0.1052088737487793,Crypturellus soui,littin1
H05_20230429_154000.ogg,21.0,24.0,0.10478314012289047,Crypturellus soui,littin1
H05_20230429_154000.ogg,27.0,30.0,0.15785977244377136,Crypturellus soui,littin1
H05_20230429_154000.ogg,30.0,33.0,0.2650214731693268,Crypturellus soui,littin1
H05_20230429_154000.ogg,36.0,39.0,0.18189659714698792,Crypturellus soui,littin1
H05_20230429_154000.ogg,48.0,51.0,0.391796737909317,Crypturellus soui,littin1
H05_20230429_154000.ogg,51.0,54.0,0.11663415282964706,Crypturellus soui,littin1
H79_20230515_102500.ogg,0.0,3.0,0.3077375292778015,Columbina talpacoti,rugdov
H79_20230515_102500.ogg,3.0,6.0,0.7083009481430054,Columbina talpacoti,rugdov
H79_20230515_102500.ogg,6.0,9.0,0.815440833568573,Columbina talpacoti,rugdov
H79_20230515_102500.ogg,9.0,12.0,0.16941051185131073,Crotophaga ani,smbani
H79_20230515_102500.ogg,12.0,15.0,0.6209957599639893,Crotophaga ani,smbani
H79_20230515_102500.ogg,15.0,18.0,0.8409371376037598,Crotophaga ani,smbani
H79_20230515_102500.ogg,18.0,21.0,0.9257077574729919,Crotophaga ani,smbani
H79_20230515_102500.ogg,21.0,24.0,0.18623869121074677,Thraupis episcopus,bugtan
